District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
30,Sindupalchowk,सिन्धुपाल्चोक,1164,थाङपालधाप,1,7867,थाङपालधाप उ.मा.वि.
30,Sindupalchowk,सिन्धुपाल्चोक,1164,थाङपालधाप,3,7867,थाङपालधाप उ.मा.वि.
30,Sindupalchowk,सिन्धुपाल्चोक,1164,थाङपालधाप,2,7867,थाङपालधाप उ.मा.वि.
30,Sindupalchowk,सिन्धुपाल्चोक,1164,थाङपालधाप,5,7868,गाविस भवन
30,Sindupalchowk,सिन्धुपाल्चोक,1164,थाङपालधाप,4,7867,थाङपालधाप उ.मा.वि.
30,Sindupalchowk,सिन्धुपाल्चोक,1164,थाङपालधाप,7,7868,गाविस भवन
30,Sindupalchowk,सिन्धुपाल्चोक,1164,थाङपालधाप,6,7868,गाविस भवन
30,Sindupalchowk,सिन्धुपाल्चोक,1164,थाङपालधाप,9,7868,गाविस भवन
30,Sindupalchowk,सिन्धुपाल्चोक,1164,थाङपालधाप,8,7868,गाविस भवन
30,Sindupalchowk,सिन्धुपाल्चोक,1165,फटकशिला,1,7872,चण्डेश्वरी प्रा.वि.
30,Sindupalchowk,सिन्धुपाल्चोक,1165,फटकशिला,3,7872,चण्डेश्वरी प्रा.वि.
30,Sindupalchowk,सिन्धुपाल्चोक,1165,फटकशिला,2,7872,चण्डेश्वरी प्रा.वि.
30,Sindupalchowk,सिन्धुपाल्चोक,1165,फटकशिला,5,7873,फटकशिला उ. मा.वि को प्रा.वि तह
30,Sindupalchowk,सिन्धुपाल्चोक,1165,फटकशिला,4,7872,चण्डेश्वरी प्रा.वि.
30,Sindupalchowk,सिन्धुपाल्चोक,1165,फटकशिला,7,7873,फटकशिला उ. मा.वि को प्रा.वि तह
30,Sindupalchowk,सिन्धुपाल्चोक,1165,फटकशिला,6,7872,चण्डेश्वरी प्रा.वि.
30,Sindupalchowk,सिन्धुपाल्चोक,1165,फटकशिला,9,7873,फटकशिला उ. मा.वि को प्रा.वि तह
30,Sindupalchowk,सिन्धुपाल्चोक,1165,फटकशिला,8,7873,फटकशिला उ. मा.वि को प्रा.वि तह
30,Sindupalchowk,सिन्धुपाल्चोक,1085,भोटेचौर,1,7764,निवुगाउ नि.मा.वि.
30,Sindupalchowk,सिन्धुपाल्चोक,1085,भोटेचौर,3,7761,सेतिका देवि मा.वि. थापाकोट
30,Sindupalchowk,सिन्धुपाल्चोक,1085,भोटेचौर,2,7761,सेतिका देवि मा.वि. थापाकोट
30,Sindupalchowk,सिन्धुपाल्चोक,1085,भोटेचौर,5,7764,निवुगाउ नि.मा.वि.
30,Sindupalchowk,सिन्धुपाल्चोक,1085,भोटेचौर,4,7761,सेतिका देवि मा.वि. थापाकोट
30,Sindupalchowk,सिन्धुपाल्चोक,1085,भोटेचौर,7,7766,जाल्पा उ.मा.वि. जैसीगाउ
30,Sindupalchowk,सिन्धुपाल्चोक,1085,भोटेचौर,6,7764,निवुगाउ नि.मा.वि.
30,Sindupalchowk,सिन्धुपाल्चोक,1085,भोटेचौर,9,7766,जाल्पा उ.मा.वि. जैसीगाउ
30,Sindupalchowk,सिन्धुपाल्चोक,1085,भोटेचौर,8,7766,जाल्पा उ.मा.वि. जैसीगाउ
30,Sindupalchowk,सिन्धुपाल्चोक,1146,दुवाचौर,1,7822,ज्योती भञज्याङ नि.मा.वि.
30,Sindupalchowk,सिन्धुपाल्चोक,1146,दुवाचौर,3,7819,वालसुधार मा.वि. पोखरे
30,Sindupalchowk,सिन्धुपाल्चोक,1146,दुवाचौर,2,7822,ज्योती भञज्याङ नि.मा.वि.
30,Sindupalchowk,सिन्धुपाल्चोक,1146,दुवाचौर,5,7822,ज्योती भञज्याङ नि.मा.वि.
30,Sindupalchowk,सिन्धुपाल्चोक,1146,दुवाचौर,4,7819,वालसुधार मा.वि. पोखरे
30,Sindupalchowk,सिन्धुपाल्चोक,1146,दुवाचौर,7,7815,जलवाइ देवि मा.वि. क्यौरेनी
30,Sindupalchowk,सिन्धुपाल्चोक,1146,दुवाचौर,6,7819,वालसुधार मा.वि. पोखरे
30,Sindupalchowk,सिन्धुपाल्चोक,1146,दुवाचौर,9,7815,जलवाइ देवि मा.वि. क्यौरेनी
30,Sindupalchowk,सिन्धुपाल्चोक,1146,दुवाचौर,8,7815,जलवाइ देवि मा.वि. क्यौरेनी
30,Sindupalchowk,सिन्धुपाल्चोक,1161,ज्यामिरे,1,7850,जनता मा.वि. भुजुङेचौर
30,Sindupalchowk,सिन्धुपाल्चोक,1161,ज्यामिरे,3,7850,जनता मा.वि. भुजुङेचौर
