District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
16,Siraha,सिराहा,1783,कचनारी,1,9146,"रा.जा.प्रा.वि., नरगीचौक"
16,Siraha,सिराहा,1783,कचनारी,3,9146,"रा.जा.प्रा.वि., नरगीचौक"
16,Siraha,सिराहा,1783,कचनारी,2,9146,"रा.जा.प्रा.वि., नरगीचौक"
16,Siraha,सिराहा,1783,कचनारी,5,9149,नि.मा.वि. कचनारी
16,Siraha,सिराहा,1783,कचनारी,4,9149,नि.मा.वि. कचनारी
16,Siraha,सिराहा,1783,कचनारी,7,9149,नि.मा.वि. कचनारी
16,Siraha,सिराहा,1783,कचनारी,6,9149,नि.मा.वि. कचनारी
16,Siraha,सिराहा,1783,कचनारी,9,9146,"रा.जा.प्रा.वि., नरगीचौक"
16,Siraha,सिराहा,1783,कचनारी,8,9149,नि.मा.वि. कचनारी
16,Siraha,सिराहा,2091,दुर्गापुर,1,9444,"गा.वि.स. भवन, दुर्गापुर"
16,Siraha,सिराहा,2091,दुर्गापुर,3,9444,"गा.वि.स. भवन, दुर्गापुर"
16,Siraha,सिराहा,2091,दुर्गापुर,2,9444,"गा.वि.स. भवन, दुर्गापुर"
16,Siraha,सिराहा,2091,दुर्गापुर,5,9444,"गा.वि.स. भवन, दुर्गापुर"
16,Siraha,सिराहा,2091,दुर्गापुर,4,9444,"गा.वि.स. भवन, दुर्गापुर"
16,Siraha,सिराहा,2091,दुर्गापुर,7,9446,"अर्जुन प्रा.वि., डंगराहा"
16,Siraha,सिराहा,2091,दुर्गापुर,6,9444,"गा.वि.स. भवन, दुर्गापुर"
16,Siraha,सिराहा,2091,दुर्गापुर,9,9446,"अर्जुन प्रा.वि., डंगराहा"
16,Siraha,सिराहा,2091,दुर्गापुर,8,9446,"अर्जुन प्रा.वि., डंगराहा"
16,Siraha,सिराहा,2093,कविलासी,1,9450,"ज.चे.जि.उ.मा.वि., कविलासी"
16,Siraha,सिराहा,2093,कविलासी,3,9450,"ज.चे.जि.उ.मा.वि., कविलासी"
16,Siraha,सिराहा,2093,कविलासी,2,9450,"ज.चे.जि.उ.मा.वि., कविलासी"
16,Siraha,सिराहा,2093,कविलासी,5,9450,"ज.चे.जि.उ.मा.वि., कविलासी"
16,Siraha,सिराहा,2093,कविलासी,4,9450,"ज.चे.जि.उ.मा.वि., कविलासी"
16,Siraha,सिराहा,2093,कविलासी,7,9450,"ज.चे.जि.उ.मा.वि., कविलासी"
16,Siraha,सिराहा,2093,कविलासी,6,9450,"ज.चे.जि.उ.मा.वि., कविलासी"
16,Siraha,सिराहा,2093,कविलासी,9,9450,"ज.चे.जि.उ.मा.वि., कविलासी"
16,Siraha,सिराहा,2093,कविलासी,8,9450,"ज.चे.जि.उ.मा.वि., कविलासी"
16,Siraha,सिराहा,2323,आशोपुर बल्कवा,1,9622,मा.वि. आशोपुर वलकला
16,Siraha,सिराहा,2323,आशोपुर बल्कवा,3,9622,मा.वि. आशोपुर वलकला
16,Siraha,सिराहा,2323,आशोपुर बल्कवा,2,9622,मा.वि. आशोपुर वलकला
16,Siraha,सिराहा,2323,आशोपुर बल्कवा,5,9622,मा.वि. आशोपुर वलकला
16,Siraha,सिराहा,2323,आशोपुर बल्कवा,4,9622,मा.वि. आशोपुर वलकला
16,Siraha,सिराहा,2323,आशोपुर बल्कवा,7,9622,मा.वि. आशोपुर वलकला
16,Siraha,सिराहा,2323,आशोपुर बल्कवा,6,9622,मा.वि. आशोपुर वलकला
16,Siraha,सिराहा,2323,आशोपुर बल्कवा,9,9622,मा.वि. आशोपुर वलकला
16,Siraha,सिराहा,2323,आशोपुर बल्कवा,8,9622,मा.वि. आशोपुर वलकला
16,Siraha,सिराहा,2381,बर्छवा,1,9722,"ज.उ.मा.वि., बर्छवा"
16,Siraha,सिराहा,2381,बर्छवा,3,9722,"ज.उ.मा.वि., बर्छवा"
16,Siraha,सिराहा,2381,बर्छवा,2,9722,"ज.उ.मा.वि., बर्छवा"
16,Siraha,सिराहा,2381,बर्छवा,5,9722,"ज.उ.मा.वि., बर्छवा"
16,Siraha,सिराहा,2381,बर्छवा,4,9722,"ज.उ.मा.वि., बर्छवा"
16,Siraha,सिराहा,2381,बर्छवा,7,9722,"ज.उ.मा.वि., बर्छवा"
16,Siraha,सिराहा,2381,बर्छवा,6,9722,"ज.उ.मा.वि., बर्छवा"
16,Siraha,सिराहा,2381,बर्छवा,9,9722,"ज.उ.मा.वि., बर्छवा"
16,Siraha,सिराहा,2381,बर्छवा,8,9722,"ज.उ.मा.वि., बर्छवा"
16,Siraha,सिराहा,1831,लगडी गदियानी,1,9278,"मा.वि. भवन, लगडी गदियानी"
16,Siraha,सिराहा,1831,लगडी गदियानी,3,9278,"मा.वि. भवन, लगडी गदियानी"
16,Siraha,सिराहा,1831,लगडी गदियानी,2,9278,"मा.वि. भवन, लगडी गदियानी"
16,Siraha,सिराहा,1831,लगडी गदियानी,5,9278,"मा.वि. भवन, लगडी गदियानी"
16,Siraha,सिराहा,1831,लगडी गदियानी,4,9278,"मा.वि. भवन, लगडी गदियानी"
16,Siraha,सिराहा,1831,लगडी गदियानी,7,9280,"प्रा.वि., सिकाज्योति"
16,Siraha,सिराहा,1831,लगडी गदियानी,6,9280,"प्रा.वि., सिकाज्योति"
16,Siraha,सिराहा,1831,लगडी गदियानी,9,9280,"प्रा.वि., सिकाज्योति"
16,Siraha,सिराहा,1831,लगडी गदियानी,8,9280,"प्रा.वि., सिकाज्योति"
