District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
11,Solukhumbu,सोलुखुम्बु,458,पावै,1,4696,"चेपेल प्रा.वि., चेपेल"
11,Solukhumbu,सोलुखुम्बु,458,पावै,3,4696,"चेपेल प्रा.वि., चेपेल"
11,Solukhumbu,सोलुखुम्बु,458,पावै,2,4696,"चेपेल प्रा.वि., चेपेल"
11,Solukhumbu,सोलुखुम्बु,458,पावै,5,4699,"वासुकी प्रा.वि., पावै"
11,Solukhumbu,सोलुखुम्बु,458,पावै,4,4699,"वासुकी प्रा.वि., पावै"
11,Solukhumbu,सोलुखुम्बु,458,पावै,7,4700,"हुलु मा.वि., गौरीटार"
11,Solukhumbu,सोलुखुम्बु,458,पावै,6,4699,"वासुकी प्रा.वि., पावै"
11,Solukhumbu,सोलुखुम्बु,458,पावै,9,4700,"हुलु मा.वि., गौरीटार"
11,Solukhumbu,सोलुखुम्बु,458,पावै,8,4700,"हुलु मा.वि., गौरीटार"
11,Solukhumbu,सोलुखुम्बु,459,वाकु,1,4717,"सगरमाथा मा.वि., वाकु"
11,Solukhumbu,सोलुखुम्बु,459,वाकु,3,4718,"हिमालय प्रा.वि., हाकुना"
11,Solukhumbu,सोलुखुम्बु,459,वाकु,2,4718,"हिमालय प्रा.वि., हाकुना"
11,Solukhumbu,सोलुखुम्बु,459,वाकु,5,4717,"सगरमाथा मा.वि., वाकु"
11,Solukhumbu,सोलुखुम्बु,459,वाकु,4,10046,हिमालय निमावि सोलावन
11,Solukhumbu,सोलुखुम्बु,459,वाकु,7,4720,"जलेश्वरी नि. मा. वि., वाप्साखानी"
11,Solukhumbu,सोलुखुम्बु,459,वाकु,6,4717,"सगरमाथा मा.वि., वाकु"
11,Solukhumbu,सोलुखुम्बु,459,वाकु,9,4720,"जलेश्वरी नि. मा. वि., वाप्साखानी"
11,Solukhumbu,सोलुखुम्बु,459,वाकु,8,4720,"जलेश्वरी नि. मा. वि., वाप्साखानी"
11,Solukhumbu,सोलुखुम्बु,450,वेनी,1,4611,"वेनी प्रा.वि. भवन, सालावेसी"
11,Solukhumbu,सोलुखुम्बु,450,वेनी,3,4614,"जुनवेसी मा.वि., जुनवेस"
11,Solukhumbu,सोलुखुम्बु,450,वेनी,2,4614,"जुनवेसी मा.वि., जुनवेस"
11,Solukhumbu,सोलुखुम्बु,450,वेनी,5,4614,"जुनवेसी मा.वि., जुनवेस"
11,Solukhumbu,सोलुखुम्बु,450,वेनी,4,4614,"जुनवेसी मा.वि., जुनवेस"
11,Solukhumbu,सोलुखुम्बु,450,वेनी,7,4611,"वेनी प्रा.वि. भवन, सालावेसी"
11,Solukhumbu,सोलुखुम्बु,450,वेनी,6,4614,"जुनवेसी मा.वि., जुनवेस"
11,Solukhumbu,सोलुखुम्बु,450,वेनी,9,4611,"वेनी प्रा.वि. भवन, सालावेसी"
11,Solukhumbu,सोलुखुम्बु,450,वेनी,8,4611,"वेनी प्रा.वि. भवन, सालावेसी"
11,Solukhumbu,सोलुखुम्बु,451,टाकसिन्धु,1,4617,"सरस्वती नि.मा.वि., फुलेली"
11,Solukhumbu,सोलुखुम्बु,451,टाकसिन्धु,3,4619,"टाकसिन्दु मा.वि., नुनथला"
11,Solukhumbu,सोलुखुम्बु,451,टाकसिन्धु,2,4617,"सरस्वती नि.मा.वि., फुलेली"
11,Solukhumbu,सोलुखुम्बु,451,टाकसिन्धु,5,4619,"टाकसिन्दु मा.वि., नुनथला"
11,Solukhumbu,सोलुखुम्बु,451,टाकसिन्धु,4,4619,"टाकसिन्दु मा.वि., नुनथला"
11,Solukhumbu,सोलुखुम्बु,451,टाकसिन्धु,7,4622,"दुधकुण्ड प्रा.वि., हेवा"
11,Solukhumbu,सोलुखुम्बु,451,टाकसिन्धु,6,4622,"दुधकुण्ड प्रा.वि., हेवा"
11,Solukhumbu,सोलुखुम्बु,451,टाकसिन्धु,9,4617,"सरस्वती नि.मा.वि., फुलेली"
11,Solukhumbu,सोलुखुम्बु,451,टाकसिन्धु,8,4626,"रिङ्मु नि.मा.वि., रिङ्मु"
11,Solukhumbu,सोलुखुम्बु,452,जुभिङ,1,4637,गा.वि.स. भवन
11,Solukhumbu,सोलुखुम्बु,452,जुभिङ,3,4638,प्रा.वि. भवन
11,Solukhumbu,सोलुखुम्बु,452,जुभिङ,2,4641,नि.मा.वि. भवन
11,Solukhumbu,सोलुखुम्बु,452,जुभिङ,5,4642,बुप्सा प्रा.वि
11,Solukhumbu,सोलुखुम्बु,452,जुभिङ,4,4638,प्रा.वि. भवन
11,Solukhumbu,सोलुखुम्बु,452,जुभिङ,7,4642,बुप्सा प्रा.वि
11,Solukhumbu,सोलुखुम्बु,452,जुभिङ,6,4641,नि.मा.वि. भवन
11,Solukhumbu,सोलुखुम्बु,452,जुभिङ,9,4637,गा.वि.स. भवन
11,Solukhumbu,सोलुखुम्बु,452,जुभिङ,8,4637,गा.वि.स. भवन
11,Solukhumbu,सोलुखुम्बु,453,चौरीखर्क,1,4645,"जनसेवा नि.मा.वि. भवन, सानोगुमेला"
11,Solukhumbu,सोलुखुम्बु,453,चौरीखर्क,3,4647,"लुक्ला नि. मा. वि., लुक्ला"
11,Solukhumbu,सोलुखुम्बु,453,चौरीखर्क,2,4647,"लुक्ला नि. मा. वि., लुक्ला"
11,Solukhumbu,सोलुखुम्बु,453,चौरीखर्क,5,4645,"जनसेवा नि.मा.वि. भवन, सानोगुमेला"
11,Solukhumbu,सोलुखुम्बु,453,चौरीखर्क,4,4647,"लुक्ला नि. मा. वि., लुक्ला"
11,Solukhumbu,सोलुखुम्बु,453,चौरीखर्क,7,4647,"लुक्ला नि. मा. वि., लुक्ला"
11,Solukhumbu,सोलुखुम्बु,453,चौरीखर्क,6,4645,"जनसेवा नि.मा.वि. भवन, सानोगुमेला"
11,Solukhumbu,सोलुखुम्बु,453,चौरीखर्क,9,4645,"जनसेवा नि.मा.वि. भवन, सानोगुमेला"
11,Solukhumbu,सोलुखुम्बु,453,चौरीखर्क,8,4647,"लुक्ला नि. मा. वि., लुक्ला"
11,Solukhumbu,सोलुखुम्बु,454,नाम्चे,1,4658,"हिमालय प्रा.वि., नाम्चे"
11,Solukhumbu,सोलुखुम्बु,454,नाम्चे,3,4658,"हिमालय प्रा.वि., नाम्चे"
11,Solukhumbu,सोलुखुम्बु,454,नाम्चे,2,4658,"हिमालय प्रा.वि., नाम्चे"
11,Solukhumbu,सोलुखुम्बु,454,नाम्चे,5,4666,"नाम्चे प्रा.वि., ठमो"
11,Solukhumbu,सोलुखुम्बु,454,नाम्चे,4,4666,"नाम्चे प्रा.वि., ठमो"
11,Solukhumbu,सोलुखुम्बु,454,नाम्चे,7,4660,"थामे नि.मा.वि., थामे"
11,Solukhumbu,सोलुखुम्बु,454,नाम्चे,6,4666,"नाम्चे प्रा.वि., ठमो"
11,Solukhumbu,सोलुखुम्बु,454,नाम्चे,9,4660,"थामे नि.मा.वि., थामे"
11,Solukhumbu,सोलुखुम्बु,454,नाम्चे,8,4660,"थामे नि.मा.वि., थामे"
11,Solukhumbu,सोलुखुम्बु,455,खुमजुङ,1,4668,"खुम्जुङ मा.वि., खुम्जुङ"
11,Solukhumbu,सोलुखुम्बु,455,खुमजुङ,3,4668,"खुम्जुङ मा.वि., खुम्जुङ"
11,Solukhumbu,सोलुखुम्बु,455,खुमजुङ,2,4668,"खुम्जुङ मा.वि., खुम्जुङ"
11,Solukhumbu,सोलुखुम्बु,455,खुमजुङ,5,4668,"खुम्जुङ मा.वि., खुम्जुङ"
11,Solukhumbu,सोलुखुम्बु,455,खुमजुङ,4,4668,"खुम्जुङ मा.वि., खुम्जुङ"
11,Solukhumbu,सोलुखुम्बु,455,खुमजुङ,7,4673,"बौद्ध विद्यापिठ प्रा.वि., खम्जुङ"
11,Solukhumbu,सोलुखुम्बु,455,खुमजुङ,6,4673,"बौद्ध विद्यापिठ प्रा.वि., खम्जुङ"
11,Solukhumbu,सोलुखुम्बु,455,खुमजुङ,9,4673,"बौद्ध विद्यापिठ प्रा.वि., खम्जुङ"
11,Solukhumbu,सोलुखुम्बु,455,खुमजुङ,8,4673,"बौद्ध विद्यापिठ प्रा.वि., खम्जुङ"
11,Solukhumbu,सोलुखुम्बु,456,वासा,1,4679,"पद्मकन्या प्रा.वि., दाम्कु"
11,Solukhumbu,सोलुखुम्बु,456,वासा,3,4679,"पद्मकन्या प्रा.वि., दाम्कु"
11,Solukhumbu,सोलुखुम्बु,456,वासा,2,4679,"पद्मकन्या प्रा.वि., दाम्कु"
11,Solukhumbu,सोलुखुम्बु,456,वासा,5,4682,"हिमालय उ. मा.वि., वासा"
11,Solukhumbu,सोलुखुम्बु,456,वासा,4,4682,"हिमालय उ. मा.वि., वासा"
11,Solukhumbu,सोलुखुम्बु,456,वासा,7,4684,"वासखाली मा.वि., वासखाली"
11,Solukhumbu,सोलुखुम्बु,456,वासा,6,4679,"पद्मकन्या प्रा.वि., दाम्कु"
11,Solukhumbu,सोलुखुम्बु,456,वासा,9,4686,"चन्द्रोदय प्रा.वि., ठुल्ढुङ्गा"
11,Solukhumbu,सोलुखुम्बु,456,वासा,8,4684,"वासखाली मा.वि., वासखाली"
11,Solukhumbu,सोलुखुम्बु,457,काकु,1,4690,"काकु नि.मा.वि., लोस्कु"
11,Solukhumbu,सोलुखुम्बु,457,काकु,3,4692,"सिंहदेवी नि.मा.वि., मुरल"
11,Solukhumbu,सोलुखुम्बु,457,काकु,2,4690,"काकु नि.मा.वि., लोस्कु"
11,Solukhumbu,सोलुखुम्बु,457,काकु,5,4692,"सिंहदेवी नि.मा.वि., मुरल"
11,Solukhumbu,सोलुखुम्बु,457,काकु,4,4692,"सिंहदेवी नि.मा.वि., मुरल"
11,Solukhumbu,सोलुखुम्बु,457,काकु,7,4694,"रामपुर प्रा.वि., कोफु"
11,Solukhumbu,सोलुखुम्बु,457,काकु,6,4694,"रामपुर प्रा.वि., कोफु"
11,Solukhumbu,सोलुखुम्बु,457,काकु,9,4690,"काकु नि.मा.वि., लोस्कु"
11,Solukhumbu,सोलुखुम्बु,457,काकु,8,4694,"रामपुर प्रा.वि., कोफु"
11,Solukhumbu,सोलुखुम्बु,494,चौलाखर्क,1,4969,"जनसेवा नि. मा. .वि., टुँडा"
11,Solukhumbu,सोलुखुम्बु,494,चौलाखर्क,3,4969,"जनसेवा नि. मा. .वि., टुँडा"
11,Solukhumbu,सोलुखुम्बु,494,चौलाखर्क,2,4969,"जनसेवा नि. मा. .वि., टुँडा"
11,Solukhumbu,सोलुखुम्बु,494,चौलाखर्क,5,4971,"गा.वि.स. भवन, चौलाखर्क"
11,Solukhumbu,सोलुखुम्बु,494,चौलाखर्क,4,4969,"जनसेवा नि. मा. .वि., टुँडा"
