District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
10,Sunsari,सुनसरी,217,वराहक्षेत्र,1,6563,औलिया नि.मा.विद्यालय चतारा
10,Sunsari,सुनसरी,217,वराहक्षेत्र,3,6567,आदर्श उच्च मा.वि. पुनर्वास
10,Sunsari,सुनसरी,217,वराहक्षेत्र,2,6567,आदर्श उच्च मा.वि. पुनर्वास
10,Sunsari,सुनसरी,217,वराहक्षेत्र,5,6567,आदर्श उच्च मा.वि. पुनर्वास
10,Sunsari,सुनसरी,217,वराहक्षेत्र,4,6570,वि.पि. प्राथमिक विधालय बयरवन
10,Sunsari,सुनसरी,217,वराहक्षेत्र,7,6576,सूर्यकुण्ड प्राथमिक विधालय सूर्यकुण्ड चौक
10,Sunsari,सुनसरी,217,वराहक्षेत्र,6,6567,आदर्श उच्च मा.वि. पुनर्वास
10,Sunsari,सुनसरी,217,वराहक्षेत्र,9,6576,सूर्यकुण्ड प्राथमिक विधालय सूर्यकुण्ड चौक
10,Sunsari,सुनसरी,217,वराहक्षेत्र,8,6576,सूर्यकुण्ड प्राथमिक विधालय सूर्यकुण्ड चौक
10,Sunsari,सुनसरी,386,महेन्द्रनगर,1,6600,महेन्द्र उ.मा.वि. चक्रघटी
10,Sunsari,सुनसरी,386,महेन्द्रनगर,3,6601,जनता प्रा.वि. शुक्रवारे
10,Sunsari,सुनसरी,386,महेन्द्रनगर,2,6600,महेन्द्र उ.मा.वि. चक्रघटी
10,Sunsari,सुनसरी,386,महेन्द्रनगर,5,6600,महेन्द्र उ.मा.वि. चक्रघटी
10,Sunsari,सुनसरी,386,महेन्द्रनगर,4,6604,बसन्त रितु मा.वि. ढिकझोडा
10,Sunsari,सुनसरी,386,महेन्द्रनगर,7,6605,कोशी मा.वि. वागझोडा
10,Sunsari,सुनसरी,386,महेन्द्रनगर,6,6600,महेन्द्र उ.मा.वि. चक्रघटी
10,Sunsari,सुनसरी,386,महेन्द्रनगर,9,6601,जनता प्रा.वि. शुक्रवारे
10,Sunsari,सुनसरी,386,महेन्द्रनगर,8,6605,कोशी मा.वि. वागझोडा
10,Sunsari,सुनसरी,312,राजगंज सिनुवारी,1,10169,सरस्वती नि.मा.वि. राजगंज सिनुवारी
10,Sunsari,सुनसरी,312,राजगंज सिनुवारी,3,10169,सरस्वती नि.मा.वि. राजगंज सिनुवारी
10,Sunsari,सुनसरी,312,राजगंज सिनुवारी,2,10169,सरस्वती नि.मा.वि. राजगंज सिनुवारी
10,Sunsari,सुनसरी,312,राजगंज सिनुवारी,5,6366,जनता प्रा.वि. राजगंज
10,Sunsari,सुनसरी,312,राजगंज सिनुवारी,4,10169,सरस्वती नि.मा.वि. राजगंज सिनुवारी
10,Sunsari,सुनसरी,312,राजगंज सिनुवारी,7,6366,जनता प्रा.वि. राजगंज
10,Sunsari,सुनसरी,312,राजगंज सिनुवारी,6,6366,जनता प्रा.वि. राजगंज
10,Sunsari,सुनसरी,312,राजगंज सिनुवारी,9,6366,जनता प्रा.वि. राजगंज
10,Sunsari,सुनसरी,312,राजगंज सिनुवारी,8,6366,जनता प्रा.वि. राजगंज
10,Sunsari,सुनसरी,317,मध्यहर्षाही,1,6373,जनता नि.मा.वि. मध्यहर्षाही
10,Sunsari,सुनसरी,317,मध्यहर्षाही,3,6373,जनता नि.मा.वि. मध्यहर्षाही
10,Sunsari,सुनसरी,317,मध्यहर्षाही,2,6373,जनता नि.मा.वि. मध्यहर्षाही
10,Sunsari,सुनसरी,317,मध्यहर्षाही,5,6373,जनता नि.मा.वि. मध्यहर्षाही
10,Sunsari,सुनसरी,317,मध्यहर्षाही,4,6373,जनता नि.मा.वि. मध्यहर्षाही
10,Sunsari,सुनसरी,317,मध्यहर्षाही,7,6373,जनता नि.मा.वि. मध्यहर्षाही
10,Sunsari,सुनसरी,317,मध्यहर्षाही,6,6373,जनता नि.मा.वि. मध्यहर्षाही
10,Sunsari,सुनसरी,317,मध्यहर्षाही,9,6373,जनता नि.मा.वि. मध्यहर्षाही
10,Sunsari,सुनसरी,317,मध्यहर्षाही,8,6373,जनता नि.मा.वि. मध्यहर्षाही
10,Sunsari,सुनसरी,330,अमाहीवेल्हा,1,6183,ने.रा.उ.मा.वि. बेलाहा
10,Sunsari,सुनसरी,330,अमाहीवेल्हा,3,6183,ने.रा.उ.मा.वि. बेलाहा
10,Sunsari,सुनसरी,330,अमाहीवेल्हा,2,6183,ने.रा.उ.मा.वि. बेलाहा
10,Sunsari,सुनसरी,330,अमाहीवेल्हा,5,6187,महेन्द्र प्रा.वि. सितागन्ज
10,Sunsari,सुनसरी,330,अमाहीवेल्हा,4,6183,ने.रा.उ.मा.वि. बेलाहा
10,Sunsari,सुनसरी,330,अमाहीवेल्हा,7,6187,महेन्द्र प्रा.वि. सितागन्ज
10,Sunsari,सुनसरी,330,अमाहीवेल्हा,6,6187,महेन्द्र प्रा.वि. सितागन्ज
10,Sunsari,सुनसरी,330,अमाहीवेल्हा,9,6183,ने.रा.उ.मा.वि. बेलाहा
10,Sunsari,सुनसरी,330,अमाहीवेल्हा,8,6183,ने.रा.उ.मा.वि. बेलाहा
10,Sunsari,सुनसरी,333,अमडुवा,1,6192,ने.रा.शिव मा.वि. रायटोल
10,Sunsari,सुनसरी,333,अमडुवा,3,6199,शिव प्रा.वि. हसनपुर
10,Sunsari,सुनसरी,333,अमडुवा,2,6192,ने.रा.शिव मा.वि. रायटोल
