District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
64,Surkhet,सुर्खेत,2594,बेतान,1,4428,ने.रा.उ.मा.बि. बेतान
64,Surkhet,सुर्खेत,2594,बेतान,3,4428,ने.रा.उ.मा.बि. बेतान
64,Surkhet,सुर्खेत,2594,बेतान,2,4428,ने.रा.उ.मा.बि. बेतान
64,Surkhet,सुर्खेत,2594,बेतान,5,4428,ने.रा.उ.मा.बि. बेतान
64,Surkhet,सुर्खेत,2594,बेतान,4,4428,ने.रा.उ.मा.बि. बेतान
64,Surkhet,सुर्खेत,2594,बेतान,7,4432,ने.रा.नि.मा.बि. शोभानचौर
64,Surkhet,सुर्खेत,2594,बेतान,6,4428,ने.रा.उ.मा.बि. बेतान
64,Surkhet,सुर्खेत,2594,बेतान,9,4432,ने.रा.नि.मा.बि. शोभानचौर
64,Surkhet,सुर्खेत,2594,बेतान,8,4432,ने.रा.नि.मा.बि. शोभानचौर
64,Surkhet,सुर्खेत,2616,कुनाथरी,1,4519,"सरस्वती मा.बि. , चेपाङ्ग"
64,Surkhet,सुर्खेत,2616,कुनाथरी,3,4514,"जनज्योति उ.मा.वि. , बड्डीचौर"
64,Surkhet,सुर्खेत,2616,कुनाथरी,2,4519,"सरस्वती मा.बि. , चेपाङ्ग"
64,Surkhet,सुर्खेत,2616,कुनाथरी,5,4514,"जनज्योति उ.मा.वि. , बड्डीचौर"
64,Surkhet,सुर्खेत,2616,कुनाथरी,4,4514,"जनज्योति उ.मा.वि. , बड्डीचौर"
64,Surkhet,सुर्खेत,2616,कुनाथरी,7,4514,"जनज्योति उ.मा.वि. , बड्डीचौर"
64,Surkhet,सुर्खेत,2616,कुनाथरी,6,4514,"जनज्योति उ.मा.वि. , बड्डीचौर"
64,Surkhet,सुर्खेत,2616,कुनाथरी,9,4514,"जनज्योति उ.मा.वि. , बड्डीचौर"
64,Surkhet,सुर्खेत,2616,कुनाथरी,8,4514,"जनज्योति उ.मा.वि. , बड्डीचौर"
64,Surkhet,सुर्खेत,2596,गुठु,1,4450,पिपल चौतारा प्रा.बि. खोप्री
64,Surkhet,सुर्खेत,2596,गुठु,3,4446,जीवनज्योती उ..मा.बि. झकमके गुठु
64,Surkhet,सुर्खेत,2596,गुठु,2,4450,पिपल चौतारा प्रा.बि. खोप्री
64,Surkhet,सुर्खेत,2596,गुठु,5,4446,जीवनज्योती उ..मा.बि. झकमके गुठु
64,Surkhet,सुर्खेत,2596,गुठु,4,4446,जीवनज्योती उ..मा.बि. झकमके गुठु
64,Surkhet,सुर्खेत,2596,गुठु,7,4446,जीवनज्योती उ..मा.बि. झकमके गुठु
64,Surkhet,सुर्खेत,2596,गुठु,6,4446,जीवनज्योती उ..मा.बि. झकमके गुठु
64,Surkhet,सुर्खेत,2596,गुठु,9,4446,जीवनज्योती उ..मा.बि. झकमके गुठु
64,Surkhet,सुर्खेत,2596,गुठु,8,4446,जीवनज्योती उ..मा.बि. झकमके गुठु
64,Surkhet,सुर्खेत,2614,तरङ्गा,1,4506,गाबिस भवन
64,Surkhet,सुर्खेत,2614,तरङ्गा,3,4506,गाबिस भवन
64,Surkhet,सुर्खेत,2614,तरङ्गा,2,4511,भैरवी ने.रा.नि.मा.बि. सुकरमाला
64,Surkhet,सुर्खेत,2614,तरङ्गा,5,4506,गाबिस भवन
64,Surkhet,सुर्खेत,2614,तरङ्गा,4,4506,गाबिस भवन
64,Surkhet,सुर्खेत,2614,तरङ्गा,7,4506,गाबिस भवन
64,Surkhet,सुर्खेत,2614,तरङ्गा,6,4506,गाबिस भवन
64,Surkhet,सुर्खेत,2614,तरङ्गा,9,4511,भैरवी ने.रा.नि.मा.बि. सुकरमाला
64,Surkhet,सुर्खेत,2614,तरङ्गा,8,4511,भैरवी ने.रा.नि.मा.बि. सुकरमाला
64,Surkhet,सुर्खेत,2613,तातापानी,1,4504,गाबिस भवन तातापानी
64,Surkhet,सुर्खेत,2613,तातापानी,3,4504,गाबिस भवन तातापानी
64,Surkhet,सुर्खेत,2613,तातापानी,2,4504,गाबिस भवन तातापानी
64,Surkhet,सुर्खेत,2613,तातापानी,5,4504,गाबिस भवन तातापानी
64,Surkhet,सुर्खेत,2613,तातापानी,4,4504,गाबिस भवन तातापानी
64,Surkhet,सुर्खेत,2613,तातापानी,7,4504,गाबिस भवन तातापानी
64,Surkhet,सुर्खेत,2613,तातापानी,6,4504,गाबिस भवन तातापानी
64,Surkhet,सुर्खेत,2613,तातापानी,9,4504,गाबिस भवन तातापानी
64,Surkhet,सुर्खेत,2613,तातापानी,8,4504,गाबिस भवन तातापानी
64,Surkhet,सुर्खेत,2591,काफलकोट,1,4409,ने.रा.प्रा.बि. नहागाउ
64,Surkhet,सुर्खेत,2591,काफलकोट,3,4413,जीवनज्योति उ.मा.बि. काफलकोट
64,Surkhet,सुर्खेत,2591,काफलकोट,2,4409,ने.रा.प्रा.बि. नहागाउ
64,Surkhet,सुर्खेत,2591,काफलकोट,5,4413,जीवनज्योति उ.मा.बि. काफलकोट
64,Surkhet,सुर्खेत,2591,काफलकोट,4,4413,जीवनज्योति उ.मा.बि. काफलकोट
