District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
41,Syangja,स्याङ्जा,1788,भाटखोला,1,2603,"शारदा रमणीयडाँडा प्रा.वि., पुलकोमुख"
41,Syangja,स्याङ्जा,1788,भाटखोला,3,2603,"शारदा रमणीयडाँडा प्रा.वि., पुलकोमुख"
41,Syangja,स्याङ्जा,1788,भाटखोला,2,2603,"शारदा रमणीयडाँडा प्रा.वि., पुलकोमुख"
41,Syangja,स्याङ्जा,1788,भाटखोला,5,2603,"शारदा रमणीयडाँडा प्रा.वि., पुलकोमुख"
41,Syangja,स्याङ्जा,1788,भाटखोला,4,2603,"शारदा रमणीयडाँडा प्रा.वि., पुलकोमुख"
41,Syangja,स्याङ्जा,1788,भाटखोला,7,2607,"जनप्रिय उ.मा.वि., पारिकाबारी"
41,Syangja,स्याङ्जा,1788,भाटखोला,6,2607,"जनप्रिय उ.मा.वि., पारिकाबारी"
41,Syangja,स्याङ्जा,1788,भाटखोला,9,2607,"जनप्रिय उ.मा.वि., पारिकाबारी"
41,Syangja,स्याङ्जा,1788,भाटखोला,8,2607,"जनप्रिय उ.मा.वि., पारिकाबारी"
41,Syangja,स्याङ्जा,1789,आरुखर्क,1,2639,"सितला मा.वि., गलेम"
41,Syangja,स्याङ्जा,1789,आरुखर्क,3,2639,"सितला मा.वि., गलेम"
41,Syangja,स्याङ्जा,1789,आरुखर्क,2,2639,"सितला मा.वि., गलेम"
41,Syangja,स्याङ्जा,1789,आरुखर्क,5,2640,"जनआदर्श उ.मा.वि., शेरबजार"
41,Syangja,स्याङ्जा,1789,आरुखर्क,4,2640,"जनआदर्श उ.मा.वि., शेरबजार"
41,Syangja,स्याङ्जा,1789,आरुखर्क,7,2640,"जनआदर्श उ.मा.वि., शेरबजार"
41,Syangja,स्याङ्जा,1789,आरुखर्क,6,2640,"जनआदर्श उ.मा.वि., शेरबजार"
41,Syangja,स्याङ्जा,1789,आरुखर्क,9,2645,"जनसहयोग सामुदायिक नि.मा.वि., स्थानचौर"
41,Syangja,स्याङ्जा,1789,आरुखर्क,8,2642,"आरुखर्क प्रा.वि., टोर्के"
41,Syangja,स्याङ्जा,1839,आरुचौर,1,2862,"सर्वोदय उ.मा.वि., तालपोखरी"
41,Syangja,स्याङ्जा,1839,आरुचौर,3,2862,"सर्वोदय उ.मा.वि., तालपोखरी"
41,Syangja,स्याङ्जा,1839,आरुचौर,2,2862,"सर्वोदय उ.मा.वि., तालपोखरी"
41,Syangja,स्याङ्जा,1839,आरुचौर,5,2865,"गा.वि.स. भवन, पिपलडाँडा"
41,Syangja,स्याङ्जा,1839,आरुचौर,4,2865,"गा.वि.स. भवन, पिपलडाँडा"
41,Syangja,स्याङ्जा,1839,आरुचौर,7,2869,"कालिका प्रा.वि., मुलाबारी"
41,Syangja,स्याङ्जा,1839,आरुचौर,6,2865,"गा.वि.स. भवन, पिपलडाँडा"
41,Syangja,स्याङ्जा,1839,आरुचौर,9,2869,"कालिका प्रा.वि., मुलाबारी"
41,Syangja,स्याङ्जा,1839,आरुचौर,8,2869,"कालिका प्रा.वि., मुलाबारी"
41,Syangja,स्याङ्जा,1780,चिलाउनेवास,1,2565,"जनप्रदिप उ.मा.वि., दुईपिप्ले"
41,Syangja,स्याङ्जा,1780,चिलाउनेवास,3,2565,"जनप्रदिप उ.मा.वि., दुईपिप्ले"
41,Syangja,स्याङ्जा,1780,चिलाउनेवास,2,2565,"जनप्रदिप उ.मा.वि., दुईपिप्ले"
41,Syangja,स्याङ्जा,1780,चिलाउनेवास,5,2566,"गा.वि.स. भवन , चिलाउनेबाँस"
41,Syangja,स्याङ्जा,1780,चिलाउनेवास,4,2566,"गा.वि.स. भवन , चिलाउनेबाँस"
41,Syangja,स्याङ्जा,1780,चिलाउनेवास,7,2569,"डहरे प्रा.वि., उखुवारी"
41,Syangja,स्याङ्जा,1780,चिलाउनेवास,6,2566,"गा.वि.स. भवन , चिलाउनेबाँस"
41,Syangja,स्याङ्जा,1780,चिलाउनेवास,9,2569,"डहरे प्रा.वि., उखुवारी"
41,Syangja,स्याङ्जा,1780,चिलाउनेवास,8,2569,"डहरे प्रा.वि., उखुवारी"
41,Syangja,स्याङ्जा,1946,शेखाम,1,3438,"शेखाम उप स्वास्थ्य चौकी , सातदोबाटो"
41,Syangja,स्याङ्जा,1946,शेखाम,3,3439,"जनसक्रिय नि.मा.वि., चिठीपोखरी"
41,Syangja,स्याङ्जा,1946,शेखाम,2,3439,"जनसक्रिय नि.मा.वि., चिठीपोखरी"
41,Syangja,स्याङ्जा,1946,शेखाम,5,3438,"शेखाम उप स्वास्थ्य चौकी , सातदोबाटो"
41,Syangja,स्याङ्जा,1946,शेखाम,4,3439,"जनसक्रिय नि.मा.वि., चिठीपोखरी"
41,Syangja,स्याङ्जा,1946,शेखाम,7,3442,"दिनदयालु प्रा.वि., साठीमुरे"
41,Syangja,स्याङ्जा,1946,शेखाम,6,3442,"दिनदयालु प्रा.वि., साठीमुरे"
41,Syangja,स्याङ्जा,1946,शेखाम,9,3438,"शेखाम उप स्वास्थ्य चौकी , सातदोबाटो"
41,Syangja,स्याङ्जा,1946,शेखाम,8,3438,"शेखाम उप स्वास्थ्य चौकी , सातदोबाटो"
41,Syangja,स्याङ्जा,1782,वाङिसङ,1,2586,"सेपत सिरानचौर मा.वि.,सेपत"
41,Syangja,स्याङ्जा,1782,वाङिसङ,3,2589,"श्रवण उ.मा.वि., वाङसिङ देउराली"
41,Syangja,स्याङ्जा,1782,वाङिसङ,2,2586,"सेपत सिरानचौर मा.वि.,सेपत"
41,Syangja,स्याङ्जा,1782,वाङिसङ,5,2589,"श्रवण उ.मा.वि., वाङसिङ देउराली"
41,Syangja,स्याङ्जा,1782,वाङिसङ,4,2589,"श्रवण उ.मा.वि., वाङसिङ देउराली"
41,Syangja,स्याङ्जा,1782,वाङिसङ,7,2589,"श्रवण उ.मा.वि., वाङसिङ देउराली"
41,Syangja,स्याङ्जा,1782,वाङिसङ,6,2589,"श्रवण उ.मा.वि., वाङसिङ देउराली"
41,Syangja,स्याङ्जा,1782,वाङिसङ,9,2589,"श्रवण उ.मा.वि., वाङसिङ देउराली"
41,Syangja,स्याङ्जा,1782,वाङिसङ,8,2589,"श्रवण उ.मा.वि., वाङसिङ देउराली"
41,Syangja,स्याङ्जा,1785,बागेफट्के,1,2595,"बाराही प्रा.वि., समरेश"
41,Syangja,स्याङ्जा,1785,बागेफट्के,3,2598,"मैदान उ.मा.वि., मैदान"
41,Syangja,स्याङ्जा,1785,बागेफट्के,2,2595,"बाराही प्रा.वि., समरेश"
41,Syangja,स्याङ्जा,1785,बागेफट्के,5,2598,"मैदान उ.मा.वि., मैदान"
41,Syangja,स्याङ्जा,1785,बागेफट्के,4,2598,"मैदान उ.मा.वि., मैदान"
41,Syangja,स्याङ्जा,1785,बागेफट्के,7,2598,"मैदान उ.मा.वि., मैदान"
41,Syangja,स्याङ्जा,1785,बागेफट्के,6,2598,"मैदान उ.मा.वि., मैदान"
41,Syangja,स्याङ्जा,1785,बागेफट्के,9,2598,"मैदान उ.मा.वि., मैदान"
41,Syangja,स्याङ्जा,1785,बागेफट्के,8,2598,"मैदान उ.मा.वि., मैदान"
41,Syangja,स्याङ्जा,1920,आलमदेवी,1,3278,"कोटाकोट प्रा.वि., बेशी"
41,Syangja,स्याङ्जा,1920,आलमदेवी,3,3278,"कोटाकोट प्रा.वि., बेशी"
41,Syangja,स्याङ्जा,1920,आलमदेवी,2,3278,"कोटाकोट प्रा.वि., बेशी"
41,Syangja,स्याङ्जा,1920,आलमदेवी,5,3282,"आदर्श प्रा.वि., लसर्घा"
41,Syangja,स्याङ्जा,1920,आलमदेवी,4,3282,"आदर्श प्रा.वि., लसर्घा"
41,Syangja,स्याङ्जा,1920,आलमदेवी,7,3286,"अमरदिप प्रा.वि., देउराली"
41,Syangja,स्याङ्जा,1920,आलमदेवी,6,3286,"अमरदिप प्रा.वि., देउराली"
41,Syangja,स्याङ्जा,1920,आलमदेवी,9,3288,"कोटाकोट नि.मा.वि., छापडाँडा"
41,Syangja,स्याङ्जा,1920,आलमदेवी,8,3288,"कोटाकोट नि.मा.वि., छापडाँडा"
41,Syangja,स्याङ्जा,1877,स्वरेक,1,3047,"राष्ट्रिय नि.मा.वि., टापु भन्ज्याङ्ग"
41,Syangja,स्याङ्जा,1877,स्वरेक,3,3047,"राष्ट्रिय नि.मा.वि., टापु भन्ज्याङ्ग"
41,Syangja,स्याङ्जा,1877,स्वरेक,2,3047,"राष्ट्रिय नि.मा.वि., टापु भन्ज्याङ्ग"
41,Syangja,स्याङ्जा,1877,स्वरेक,5,3052,"तिलाहार नेटा प्रा.वि., पकान"
41,Syangja,स्याङ्जा,1877,स्वरेक,4,3047,"राष्ट्रिय नि.मा.वि., टापु भन्ज्याङ्ग"
41,Syangja,स्याङ्जा,1877,स्वरेक,7,3054,"जनप्रिय मा.वि., सिम्ले"
41,Syangja,स्याङ्जा,1877,स्वरेक,6,3052,"तिलाहार नेटा प्रा.वि., पकान"
41,Syangja,स्याङ्जा,1877,स्वरेक,9,3054,"जनप्रिय मा.वि., सिम्ले"
41,Syangja,स्याङ्जा,1877,स्वरेक,8,3054,"जनप्रिय मा.वि., सिम्ले"
41,Syangja,स्याङ्जा,1874,ढापुकसिमलभन्ज्याङ,1,3039,"सिरुखर्क जोगिस्थान मा.वि., रिपुखोला"
41,Syangja,स्याङ्जा,1874,ढापुकसिमलभन्ज्याङ,3,3041,"पब्लिक एकेडेमी  मा.वि., ढाकुप"
41,Syangja,स्याङ्जा,1874,ढापुकसिमलभन्ज्याङ,2,3039,"सिरुखर्क जोगिस्थान मा.वि., रिपुखोला"
41,Syangja,स्याङ्जा,1874,ढापुकसिमलभन्ज्याङ,5,3041,"पब्लिक एकेडेमी  मा.वि., ढाकुप"
41,Syangja,स्याङ्जा,1874,ढापुकसिमलभन्ज्याङ,4,3041,"पब्लिक एकेडेमी  मा.वि., ढाकुप"
41,Syangja,स्याङ्जा,1874,ढापुकसिमलभन्ज्याङ,7,3044,"गा.वि.स. भवन, मोहनडाँडा"
41,Syangja,स्याङ्जा,1874,ढापुकसिमलभन्ज्याङ,6,3039,"सिरुखर्क जोगिस्थान मा.वि., रिपुखोला"
41,Syangja,स्याङ्जा,1874,ढापुकसिमलभन्ज्याङ,9,3044,"गा.वि.स. भवन, मोहनडाँडा"
41,Syangja,स्याङ्जा,1874,ढापुकसिमलभन्ज्याङ,8,3044,"गा.वि.स. भवन, मोहनडाँडा"
41,Syangja,स्याङ्जा,3716,पुतलीबजार नगरपालिका,11,2786,"मातृभूमि उ.मा.वी. , सतौँ  हटिया"
41,Syangja,स्याङ्जा,3716,पुतलीबजार नगरपालिका,10,9928,शान्तिप्रिय प्रा.वि. गैरी पोखरी
41,Syangja,स्याङ्जा,3716,पुतलीबजार नगरपालिका,10,2780,"जनप्रिय प्रा.वि., करबुजे"
41,Syangja,स्याङ्जा,3716,पुतलीबजार नगरपालिका,13,2794,"दिव्यज्ञान सामुदायिक प्रा.वि., उनियाचौर"
41,Syangja,स्याङ्जा,3716,पुतलीबजार नगरपालिका,12,2790,"चक्रकमला प्र.नि.मा.वि., राङखोला बजार"
41,Syangja,स्याङ्जा,3716,पुतलीबजार नगरपालिका,1,2745,त्रिभुवन.आदर्श उ.मा.वि. स्याङ्जाबजार
41,Syangja,स्याङ्जा,3716,पुतलीबजार नगरपालिका,3,2752,"पुण्यशिला प्रा.वि., निरविरे"
41,Syangja,स्याङ्जा,3716,पुतलीबजार नगरपालिका,2,2749,"थुम्कीडाँडा मन्दिर, कुसुण्डे"
41,Syangja,स्याङ्जा,3716,पुतलीबजार नगरपालिका,5,2759,"काजीमान हरिटीका उ.मा.वि., पुतलीखेत"
41,Syangja,स्याङ्जा,3716,पुतलीबजार नगरपालिका,4,2757,"सरस्वती मा.वि., गैरीखेत"
41,Syangja,स्याङ्जा,3716,पुतलीबजार नगरपालिका,7,2769,"सरस्वती उ.मा.वि., नागडाँडा"
41,Syangja,स्याङ्जा,3716,पुतलीबजार नगरपालिका,6,2763,"रामकाष फुलबारी मा.वि., रामकोश"
41,Syangja,स्याङ्जा,3716,पुतलीबजार नगरपालिका,9,2776,श्रवण मा.वि. लामागे
41,Syangja,स्याङ्जा,3716,पुतलीबजार नगरपालिका,8,2771,"रजस्थल उ.मा.वि., सतौ"
41,Syangja,स्याङ्जा,1872,कालिकाकोट,1,3021,"जनसेवा उ.मा.वि., डुम्री भञ्ज्याङ"
41,Syangja,स्याङ्जा,1872,कालिकाकोट,3,3026,"सिर्कोट नि.मा.वि., सिर्कोट"
41,Syangja,स्याङ्जा,1872,कालिकाकोट,2,3021,"जनसेवा उ.मा.वि., डुम्री भञ्ज्याङ"
41,Syangja,स्याङ्जा,1872,कालिकाकोट,5,3036,"पिपलडाँडा मा.वि., साउन्दी"
41,Syangja,स्याङ्जा,1872,कालिकाकोट,4,3026,"सिर्कोट नि.मा.वि., सिर्कोट"
41,Syangja,स्याङ्जा,1872,कालिकाकोट,7,3032,"ठूलीभञ्ज्याङ प्रा.वि., आङवाङ"
41,Syangja,स्याङ्जा,1872,कालिकाकोट,6,3032,"ठूलीभञ्ज्याङ प्रा.वि., आङवाङ"
41,Syangja,स्याङ्जा,1872,कालिकाकोट,9,3036,"पिपलडाँडा मा.वि., साउन्दी"
41,Syangja,स्याङ्जा,1872,कालिकाकोट,8,3032,"ठूलीभञ्ज्याङ प्रा.वि., आङवाङ"
41,Syangja,स्याङ्जा,1899,चापाकोट,1,3254,"गंगालाल उ.मा.वि., चापाकोट"
41,Syangja,स्याङ्जा,1899,चापाकोट,3,3254,"गंगालाल उ.मा.वि., चापाकोट"
41,Syangja,स्याङ्जा,1899,चापाकोट,2,3254,"गंगालाल उ.मा.वि., चापाकोट"
41,Syangja,स्याङ्जा,1899,चापाकोट,5,3254,"गंगालाल उ.मा.वि., चापाकोट"
41,Syangja,स्याङ्जा,1899,चापाकोट,4,3254,"गंगालाल उ.मा.वि., चापाकोट"
41,Syangja,स्याङ्जा,1899,चापाकोट,7,3140,"जनजागृति नि.मा.वि., ठाँटी भञ्ज्याङ"
41,Syangja,स्याङ्जा,1899,चापाकोट,6,3254,"गंगालाल उ.मा.वि., चापाकोट"
