District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
40,Tanahu,तनहुँ,1661,मिर्लुङ,1,2189,"जलदेवी प्रा.वि., अर्चले"
40,Tanahu,तनहुँ,1661,मिर्लुङ,3,2189,"जलदेवी प्रा.वि., अर्चले"
40,Tanahu,तनहुँ,1661,मिर्लुङ,2,2189,"जलदेवी प्रा.वि., अर्चले"
40,Tanahu,तनहुँ,1661,मिर्लुङ,5,2189,"जलदेवी प्रा.वि., अर्चले"
40,Tanahu,तनहुँ,1661,मिर्लुङ,4,2191,"अरनीको उ मा.वि., ठूलोढुङ्गा"
40,Tanahu,तनहुँ,1661,मिर्लुङ,7,2191,"अरनीको उ मा.वि., ठूलोढुङ्गा"
40,Tanahu,तनहुँ,1661,मिर्लुङ,6,2191,"अरनीको उ मा.वि., ठूलोढुङ्गा"
40,Tanahu,तनहुँ,1661,मिर्लुङ,9,2191,"अरनीको उ मा.वि., ठूलोढुङ्गा"
40,Tanahu,तनहुँ,1661,मिर्लुङ,8,2191,"अरनीको उ मा.वि., ठूलोढुङ्गा"
40,Tanahu,तनहुँ,1738,क्यामीन,1,2401,"क्यामिन उ.मा.वि., कलेस्ती"
40,Tanahu,तनहुँ,1738,क्यामीन,3,2408,"क्यामिनकोट मा.वि., छापथोक"
40,Tanahu,तनहुँ,1738,क्यामीन,2,2401,"क्यामिन उ.मा.वि., कलेस्ती"
40,Tanahu,तनहुँ,1738,क्यामीन,5,2408,"क्यामिनकोट मा.वि., छापथोक"
40,Tanahu,तनहुँ,1738,क्यामीन,4,2408,"क्यामिनकोट मा.वि., छापथोक"
40,Tanahu,तनहुँ,1738,क्यामीन,7,2405,वसन्तकाली प्रा.वि. सत्रसय
40,Tanahu,तनहुँ,1738,क्यामीन,6,2405,वसन्तकाली प्रा.वि. सत्रसय
40,Tanahu,तनहुँ,1738,क्यामीन,9,2401,"क्यामिन उ.मा.वि., कलेस्ती"
40,Tanahu,तनहुँ,1738,क्यामीन,8,2408,"क्यामिनकोट मा.वि., छापथोक"
40,Tanahu,तनहुँ,1710,कोट दरवार,1,2315,"श्रृङ्ग मा.वि., गोठादी"
40,Tanahu,तनहुँ,1710,कोट दरवार,3,2315,"श्रृङ्ग मा.वि., गोठादी"
40,Tanahu,तनहुँ,1710,कोट दरवार,2,2316,गा.वि.स. भवन अर्खलछाप
40,Tanahu,तनहुँ,1710,कोट दरवार,5,2316,गा.वि.स. भवन अर्खलछाप
40,Tanahu,तनहुँ,1710,कोट दरवार,4,2316,गा.वि.स. भवन अर्खलछाप
40,Tanahu,तनहुँ,1710,कोट दरवार,7,2316,गा.वि.स. भवन अर्खलछाप
40,Tanahu,तनहुँ,1710,कोट दरवार,6,2316,गा.वि.स. भवन अर्खलछाप
40,Tanahu,तनहुँ,1710,कोट दरवार,9,2315,"श्रृङ्ग मा.वि., गोठादी"
40,Tanahu,तनहुँ,1710,कोट दरवार,8,2315,"श्रृङ्ग मा.वि., गोठादी"
40,Tanahu,तनहुँ,1771,मनपाङ,1,2538,"रत्न मा.वि., क्षेत्रेभञ्ज्याङ"
40,Tanahu,तनहुँ,1771,मनपाङ,3,2538,"रत्न मा.वि., क्षेत्रेभञ्ज्याङ"
40,Tanahu,तनहुँ,1771,मनपाङ,2,2538,"रत्न मा.वि., क्षेत्रेभञ्ज्याङ"
40,Tanahu,तनहुँ,1771,मनपाङ,5,2538,"रत्न मा.वि., क्षेत्रेभञ्ज्याङ"
40,Tanahu,तनहुँ,1771,मनपाङ,4,2538,"रत्न मा.वि., क्षेत्रेभञ्ज्याङ"
40,Tanahu,तनहुँ,1771,मनपाङ,7,2542,"जनजौकुमारी शाहि प्रा.वि., माझिलाङ"
40,Tanahu,तनहुँ,1771,मनपाङ,6,2542,"जनजौकुमारी शाहि प्रा.वि., माझिलाङ"
40,Tanahu,तनहुँ,1771,मनपाङ,9,2542,"जनजौकुमारी शाहि प्रा.वि., माझिलाङ"
40,Tanahu,तनहुँ,1771,मनपाङ,8,2542,"जनजौकुमारी शाहि प्रा.वि., माझिलाङ"
40,Tanahu,तनहुँ,1716,भगवतीपुर,1,2414,"सरस्वती मा.वि., हटीया"
40,Tanahu,तनहुँ,1716,भगवतीपुर,3,2415,"बुद्धी प्रा.वि., मचावारी"
40,Tanahu,तनहुँ,1716,भगवतीपुर,2,2415,"बुद्धी प्रा.वि., मचावारी"
40,Tanahu,तनहुँ,1716,भगवतीपुर,5,2414,"सरस्वती मा.वि., हटीया"
40,Tanahu,तनहुँ,1716,भगवतीपुर,4,2415,"बुद्धी प्रा.वि., मचावारी"
40,Tanahu,तनहुँ,1716,भगवतीपुर,7,2414,"सरस्वती मा.वि., हटीया"
40,Tanahu,तनहुँ,1716,भगवतीपुर,6,2415,"बुद्धी प्रा.वि., मचावारी"
40,Tanahu,तनहुँ,1716,भगवतीपुर,9,2414,"सरस्वती मा.वि., हटीया"
40,Tanahu,तनहुँ,1716,भगवतीपुर,8,2414,"सरस्वती मा.वि., हटीया"
40,Tanahu,तनहुँ,1714,राम्जाकोट,1,2331,"महेन्द्रोदय मा.वि., गोवादी"
40,Tanahu,तनहुँ,1714,राम्जाकोट,3,2331,"महेन्द्रोदय मा.वि., गोवादी"
40,Tanahu,तनहुँ,1714,राम्जाकोट,2,2333,"जयदुर्गा मा.वि., पिपलटार"
40,Tanahu,तनहुँ,1714,राम्जाकोट,5,2331,"महेन्द्रोदय मा.वि., गोवादी"
40,Tanahu,तनहुँ,1714,राम्जाकोट,4,2331,"महेन्द्रोदय मा.वि., गोवादी"
40,Tanahu,तनहुँ,1714,राम्जाकोट,7,2331,"महेन्द्रोदय मा.वि., गोवादी"
40,Tanahu,तनहुँ,1714,राम्जाकोट,6,2331,"महेन्द्रोदय मा.वि., गोवादी"
40,Tanahu,तनहुँ,1714,राम्जाकोट,9,2333,"जयदुर्गा मा.वि., पिपलटार"
