District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
1,Taplejung,ताप्लेजुङ,153,थुकिम्वा,1,508,"त्रिभुवन उ. मा.वि., थुकिम्बा"
1,Taplejung,ताप्लेजुङ,153,थुकिम्वा,3,508,"त्रिभुवन उ. मा.वि., थुकिम्बा"
1,Taplejung,ताप्लेजुङ,153,थुकिम्वा,2,508,"त्रिभुवन उ. मा.वि., थुकिम्बा"
1,Taplejung,ताप्लेजुङ,153,थुकिम्वा,5,508,"त्रिभुवन उ. मा.वि., थुकिम्बा"
1,Taplejung,ताप्लेजुङ,153,थुकिम्वा,4,508,"त्रिभुवन उ. मा.वि., थुकिम्बा"
1,Taplejung,ताप्लेजुङ,153,थुकिम्वा,7,508,"त्रिभुवन उ. मा.वि., थुकिम्बा"
1,Taplejung,ताप्लेजुङ,153,थुकिम्वा,6,508,"त्रिभुवन उ. मा.वि., थुकिम्बा"
1,Taplejung,ताप्लेजुङ,153,थुकिम्वा,9,508,"त्रिभुवन उ. मा.वि., थुकिम्बा"
1,Taplejung,ताप्लेजुङ,153,थुकिम्वा,8,508,"त्रिभुवन उ. मा.वि., थुकिम्बा"
1,Taplejung,ताप्लेजुङ,3907,खोक्लिङ,1,525,"मोती उ.मा.वि., खोक्लिङ"
1,Taplejung,ताप्लेजुङ,3907,खोक्लिङ,3,525,"मोती उ.मा.वि., खोक्लिङ"
1,Taplejung,ताप्लेजुङ,3907,खोक्लिङ,2,525,"मोती उ.मा.वि., खोक्लिङ"
1,Taplejung,ताप्लेजुङ,3907,खोक्लिङ,5,525,"मोती उ.मा.वि., खोक्लिङ"
1,Taplejung,ताप्लेजुङ,3907,खोक्लिङ,4,525,"मोती उ.मा.वि., खोक्लिङ"
1,Taplejung,ताप्लेजुङ,3907,खोक्लिङ,7,525,"मोती उ.मा.वि., खोक्लिङ"
1,Taplejung,ताप्लेजुङ,3907,खोक्लिङ,6,525,"मोती उ.मा.वि., खोक्लिङ"
1,Taplejung,ताप्लेजुङ,3907,खोक्लिङ,9,525,"मोती उ.मा.वि., खोक्लिङ"
1,Taplejung,ताप्लेजुङ,3907,खोक्लिङ,8,525,"मोती उ.मा.वि., खोक्लिङ"
1,Taplejung,ताप्लेजुङ,156,इखाबु,1,511,"सेवालुङ नि.मा.वि., सेसुवा"
1,Taplejung,ताप्लेजुङ,156,इखाबु,3,511,"सेवालुङ नि.मा.वि., सेसुवा"
1,Taplejung,ताप्लेजुङ,156,इखाबु,2,511,"सेवालुङ नि.मा.वि., सेसुवा"
1,Taplejung,ताप्लेजुङ,156,इखाबु,5,511,"सेवालुङ नि.मा.वि., सेसुवा"
1,Taplejung,ताप्लेजुङ,156,इखाबु,4,511,"सेवालुङ नि.मा.वि., सेसुवा"
1,Taplejung,ताप्लेजुङ,156,इखाबु,7,516,"सुन्देवी नि.मा.वि., सुन्सावु"
1,Taplejung,ताप्लेजुङ,156,इखाबु,6,511,"सेवालुङ नि.मा.वि., सेसुवा"
1,Taplejung,ताप्लेजुङ,156,इखाबु,9,516,"सुन्देवी नि.मा.वि., सुन्सावु"
1,Taplejung,ताप्लेजुङ,156,इखाबु,8,516,"सुन्देवी नि.मा.वि., सुन्सावु"
1,Taplejung,ताप्लेजुङ,158,खेजेनिम,1,520,"खेजेनिम नि.मा.वि., गढीडांडा"
1,Taplejung,ताप्लेजुङ,158,खेजेनिम,3,520,"खेजेनिम नि.मा.वि., गढीडांडा"
1,Taplejung,ताप्लेजुङ,158,खेजेनिम,2,520,"खेजेनिम नि.मा.वि., गढीडांडा"
1,Taplejung,ताप्लेजुङ,158,खेजेनिम,5,520,"खेजेनिम नि.मा.वि., गढीडांडा"
