District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
6,Terathum,तेह्रथुम,150,पौठाक,1,3725,जनप्रीय उ.मा.वि.
6,Terathum,तेह्रथुम,150,पौठाक,3,3725,जनप्रीय उ.मा.वि.
6,Terathum,तेह्रथुम,150,पौठाक,2,3725,जनप्रीय उ.मा.वि.
6,Terathum,तेह्रथुम,150,पौठाक,5,3725,जनप्रीय उ.मा.वि.
6,Terathum,तेह्रथुम,150,पौठाक,4,3725,जनप्रीय उ.मा.वि.
6,Terathum,तेह्रथुम,150,पौठाक,7,3725,जनप्रीय उ.मा.वि.
6,Terathum,तेह्रथुम,150,पौठाक,6,3725,जनप्रीय उ.मा.वि.
6,Terathum,तेह्रथुम,150,पौठाक,9,3725,जनप्रीय उ.मा.वि.
6,Terathum,तेह्रथुम,150,पौठाक,8,3725,जनप्रीय उ.मा.वि.
6,Terathum,तेह्रथुम,152,श्रीजुङ,1,3730,श्रीजुङ उ.मा.वि.
6,Terathum,तेह्रथुम,152,श्रीजुङ,3,3730,श्रीजुङ उ.मा.वि.
6,Terathum,तेह्रथुम,152,श्रीजुङ,2,3730,श्रीजुङ उ.मा.वि.
6,Terathum,तेह्रथुम,152,श्रीजुङ,5,3730,श्रीजुङ उ.मा.वि.
6,Terathum,तेह्रथुम,152,श्रीजुङ,4,3730,श्रीजुङ उ.मा.वि.
6,Terathum,तेह्रथुम,152,श्रीजुङ,7,3730,श्रीजुङ उ.मा.वि.
6,Terathum,तेह्रथुम,152,श्रीजुङ,6,3730,श्रीजुङ उ.मा.वि.
6,Terathum,तेह्रथुम,152,श्रीजुङ,9,3728,"कालिका नि मा वि., पोरखा"
6,Terathum,तेह्रथुम,152,श्रीजुङ,8,3728,"कालिका नि मा वि., पोरखा"
6,Terathum,तेह्रथुम,154,फाक्चामारा,1,3733,"सिद्धगणेश मा.वि., बतासे"
6,Terathum,तेह्रथुम,154,फाक्चामारा,3,3733,"सिद्धगणेश मा.वि., बतासे"
6,Terathum,तेह्रथुम,154,फाक्चामारा,2,3733,"सिद्धगणेश मा.वि., बतासे"
6,Terathum,तेह्रथुम,154,फाक्चामारा,5,9812,नबिन शिक्षा सदन उ.मा.बि.
6,Terathum,तेह्रथुम,154,फाक्चामारा,4,3733,"सिद्धगणेश मा.वि., बतासे"
6,Terathum,तेह्रथुम,154,फाक्चामारा,7,9812,नबिन शिक्षा सदन उ.मा.बि.
6,Terathum,तेह्रथुम,154,फाक्चामारा,6,9812,नबिन शिक्षा सदन उ.मा.बि.
6,Terathum,तेह्रथुम,154,फाक्चामारा,9,9812,नबिन शिक्षा सदन उ.मा.बि.
6,Terathum,तेह्रथुम,154,फाक्चामारा,8,9812,नबिन शिक्षा सदन उ.मा.बि.
6,Terathum,तेह्रथुम,117,जलजले,1,3615,शंकर उ.मा.वि.
6,Terathum,तेह्रथुम,117,जलजले,3,3615,शंकर उ.मा.वि.
6,Terathum,तेह्रथुम,117,जलजले,2,3615,शंकर उ.मा.वि.
6,Terathum,तेह्रथुम,117,जलजले,5,3620,"पञ्चकन्या प्रा.वि., पेतुवारे"
6,Terathum,तेह्रथुम,117,जलजले,4,3615,शंकर उ.मा.वि.
6,Terathum,तेह्रथुम,117,जलजले,7,3620,"पञ्चकन्या प्रा.वि., पेतुवारे"
6,Terathum,तेह्रथुम,117,जलजले,6,3620,"पञ्चकन्या प्रा.वि., पेतुवारे"
6,Terathum,तेह्रथुम,117,जलजले,9,3615,शंकर उ.मा.वि.
6,Terathum,तेह्रथुम,117,जलजले,8,3620,"पञ्चकन्या प्रा.वि., पेतुवारे"
6,Terathum,तेह्रथुम,116,पंचकन्या पोखरी ,1,3612,पञ्चकन्या मा.वि.
6,Terathum,तेह्रथुम,116,पंचकन्या पोखरी ,3,3612,पञ्चकन्या मा.वि.
6,Terathum,तेह्रथुम,116,पंचकन्या पोखरी ,2,3612,पञ्चकन्या मा.वि.
6,Terathum,तेह्रथुम,116,पंचकन्या पोखरी ,5,3612,पञ्चकन्या मा.वि.
6,Terathum,तेह्रथुम,116,पंचकन्या पोखरी ,4,3612,पञ्चकन्या मा.वि.
6,Terathum,तेह्रथुम,116,पंचकन्या पोखरी ,7,3612,पञ्चकन्या मा.वि.
6,Terathum,तेह्रथुम,116,पंचकन्या पोखरी ,6,3612,पञ्चकन्या मा.वि.
6,Terathum,तेह्रथुम,116,पंचकन्या पोखरी ,9,3612,पञ्चकन्या मा.वि.
6,Terathum,तेह्रथुम,116,पंचकन्या पोखरी ,8,3612,पञ्चकन्या मा.वि.
6,Terathum,तेह्रथुम,137,थोक्लुङ,1,3655,काशीनाथ नि.मा.वि.
6,Terathum,तेह्रथुम,137,थोक्लुङ,3,3655,काशीनाथ नि.मा.वि.
