District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
14,Udayapur,उदयपुर,3922,तपेश्वरी वेलही,1,6539,"सप्तकौशीका मा.वि., भागलपुर"
14,Udayapur,उदयपुर,3922,तपेश्वरी वेलही,3,6535,"जनता वेल्का उ.मा.वि., पुरन्दह"
14,Udayapur,उदयपुर,3922,तपेश्वरी वेलही,2,6535,"जनता वेल्का उ.मा.वि., पुरन्दह"
14,Udayapur,उदयपुर,3922,तपेश्वरी वेलही,5,6535,"जनता वेल्का उ.मा.वि., पुरन्दह"
14,Udayapur,उदयपुर,3922,तपेश्वरी वेलही,4,6535,"जनता वेल्का उ.मा.वि., पुरन्दह"
14,Udayapur,उदयपुर,3922,तपेश्वरी वेलही,7,6535,"जनता वेल्का उ.मा.वि., पुरन्दह"
14,Udayapur,उदयपुर,3922,तपेश्वरी वेलही,6,6535,"जनता वेल्का उ.मा.वि., पुरन्दह"
14,Udayapur,उदयपुर,3922,तपेश्वरी वेलही,9,6535,"जनता वेल्का उ.मा.वि., पुरन्दह"
14,Udayapur,उदयपुर,3922,तपेश्वरी वेलही,8,6535,"जनता वेल्का उ.मा.वि., पुरन्दह"
14,Udayapur,उदयपुर,3949,ठानागाउँ,1,7112,"ककनेश्वर उ.मा.वि., ठानागाउँ"
14,Udayapur,उदयपुर,3949,ठानागाउँ,3,7112,"ककनेश्वर उ.मा.वि., ठानागाउँ"
14,Udayapur,उदयपुर,3949,ठानागाउँ,2,7112,"ककनेश्वर उ.मा.वि., ठानागाउँ"
14,Udayapur,उदयपुर,3949,ठानागाउँ,5,7112,"ककनेश्वर उ.मा.वि., ठानागाउँ"
14,Udayapur,उदयपुर,3949,ठानागाउँ,4,7112,"ककनेश्वर उ.मा.वि., ठानागाउँ"
14,Udayapur,उदयपुर,3949,ठानागाउँ,7,7112,"ककनेश्वर उ.मा.वि., ठानागाउँ"
14,Udayapur,उदयपुर,3949,ठानागाउँ,6,7112,"ककनेश्वर उ.मा.वि., ठानागाउँ"
14,Udayapur,उदयपुर,3949,ठानागाउँ,9,7112,"ककनेश्वर उ.मा.वि., ठानागाउँ"
14,Udayapur,उदयपुर,3949,ठानागाउँ,8,7112,"ककनेश्वर उ.मा.वि., ठानागाउँ"
14,Udayapur,उदयपुर,3920,कटुञ्जे ववला,1,6525,"जनता मा.वि.,पुवारेथुम्का"
14,Udayapur,उदयपुर,3920,कटुञ्जे ववला,3,6525,"जनता मा.वि.,पुवारेथुम्का"
14,Udayapur,उदयपुर,3920,कटुञ्जे ववला,2,6525,"जनता मा.वि.,पुवारेथुम्का"
14,Udayapur,उदयपुर,3920,कटुञ्जे ववला,5,6525,"जनता मा.वि.,पुवारेथुम्का"
14,Udayapur,उदयपुर,3920,कटुञ्जे ववला,4,6525,"जनता मा.वि.,पुवारेथुम्का"
14,Udayapur,उदयपुर,3920,कटुञ्जे ववला,7,6525,"जनता मा.वि.,पुवारेथुम्का"
14,Udayapur,उदयपुर,3920,कटुञ्जे ववला,6,6525,"जनता मा.वि.,पुवारेथुम्का"
14,Udayapur,उदयपुर,3920,कटुञ्जे ववला,9,6525,"जनता मा.वि.,पुवारेथुम्का"
14,Udayapur,उदयपुर,3920,कटुञ्जे ववला,8,6525,"जनता मा.वि.,पुवारेथुम्का"
14,Udayapur,उदयपुर,3921,मैनामैनी,1,6529,मैनामैनी मा.वि.मूलगाउँ
14,Udayapur,उदयपुर,3921,मैनामैनी,3,6529,मैनामैनी मा.वि.मूलगाउँ
14,Udayapur,उदयपुर,3921,मैनामैनी,2,6529,मैनामैनी मा.वि.मूलगाउँ
14,Udayapur,उदयपुर,3921,मैनामैनी,5,6529,मैनामैनी मा.वि.मूलगाउँ
14,Udayapur,उदयपुर,3921,मैनामैनी,4,6529,मैनामैनी मा.वि.मूलगाउँ
14,Udayapur,उदयपुर,3921,मैनामैनी,7,6529,मैनामैनी मा.वि.मूलगाउँ
14,Udayapur,उदयपुर,3921,मैनामैनी,6,6529,मैनामैनी मा.वि.मूलगाउँ
14,Udayapur,उदयपुर,3921,मैनामैनी,9,6531,"महाकाली मा.वि., चम्पापुर"
14,Udayapur,उदयपुर,3921,मैनामैनी,8,6529,मैनामैनी मा.वि.मूलगाउँ
14,Udayapur,उदयपुर,3926,लाफागाउँ,1,6669,"जनता उ.मा.वि., लाफागाउँ"
14,Udayapur,उदयपुर,3926,लाफागाउँ,3,6669,"जनता उ.मा.वि., लाफागाउँ"
14,Udayapur,उदयपुर,3926,लाफागाउँ,2,6669,"जनता उ.मा.वि., लाफागाउँ"
14,Udayapur,उदयपुर,3926,लाफागाउँ,5,6669,"जनता उ.मा.वि., लाफागाउँ"
14,Udayapur,उदयपुर,3926,लाफागाउँ,4,6669,"जनता उ.मा.वि., लाफागाउँ"
14,Udayapur,उदयपुर,3926,लाफागाउँ,7,6669,"जनता उ.मा.वि., लाफागाउँ"
14,Udayapur,उदयपुर,3926,लाफागाउँ,6,6669,"जनता उ.मा.वि., लाफागाउँ"
14,Udayapur,उदयपुर,3926,लाफागाउँ,9,6669,"जनता उ.मा.वि., लाफागाउँ"
14,Udayapur,उदयपुर,3926,लाफागाउँ,8,6669,"जनता उ.मा.वि., लाफागाउँ"
14,Udayapur,उदयपुर,3927,पोखरी,1,6674,"महेन्द्र उ.मा.वि., पोखरी"
14,Udayapur,उदयपुर,3927,पोखरी,3,6674,"महेन्द्र उ.मा.वि., पोखरी"
14,Udayapur,उदयपुर,3927,पोखरी,2,6674,"महेन्द्र उ.मा.वि., पोखरी"
14,Udayapur,उदयपुर,3927,पोखरी,5,6674,"महेन्द्र उ.मा.वि., पोखरी"
14,Udayapur,उदयपुर,3927,पोखरी,4,6674,"महेन्द्र उ.मा.वि., पोखरी"
14,Udayapur,उदयपुर,3927,पोखरी,7,6674,"महेन्द्र उ.मा.वि., पोखरी"
14,Udayapur,उदयपुर,3927,पोखरी,6,6674,"महेन्द्र उ.मा.वि., पोखरी"
14,Udayapur,उदयपुर,3927,पोखरी,9,6674,"महेन्द्र उ.मा.वि., पोखरी"
14,Udayapur,उदयपुर,3927,पोखरी,8,6674,"महेन्द्र उ.मा.वि., पोखरी"
14,Udayapur,उदयपुर,3924,जाल्पा चिलाउने,1,6659,उ.मा.वि. चिलाउने
14,Udayapur,उदयपुर,3924,जाल्पा चिलाउने,3,6659,उ.मा.वि. चिलाउने
14,Udayapur,उदयपुर,3924,जाल्पा चिलाउने,2,6659,उ.मा.वि. चिलाउने
14,Udayapur,उदयपुर,3924,जाल्पा चिलाउने,5,6659,उ.मा.वि. चिलाउने
14,Udayapur,उदयपुर,3924,जाल्पा चिलाउने,4,6659,उ.मा.वि. चिलाउने
14,Udayapur,उदयपुर,3924,जाल्पा चिलाउने,7,6659,उ.मा.वि. चिलाउने
14,Udayapur,उदयपुर,3924,जाल्पा चिलाउने,6,6659,उ.मा.वि. चिलाउने
14,Udayapur,उदयपुर,3924,जाल्पा चिलाउने,9,6659,उ.मा.वि. चिलाउने
14,Udayapur,उदयपुर,3924,जाल्पा चिलाउने,8,6659,उ.मा.वि. चिलाउने
14,Udayapur,उदयपुर,3925,आँपटार,1,6663,"पशुपति उ.मा.वि., ज्यामिरे"
14,Udayapur,उदयपुर,3925,आँपटार,3,6663,"पशुपति उ.मा.वि., ज्यामिरे"
14,Udayapur,उदयपुर,3925,आँपटार,2,6663,"पशुपति उ.मा.वि., ज्यामिरे"
14,Udayapur,उदयपुर,3925,आँपटार,5,6663,"पशुपति उ.मा.वि., ज्यामिरे"
14,Udayapur,उदयपुर,3925,आँपटार,4,6663,"पशुपति उ.मा.वि., ज्यामिरे"
14,Udayapur,उदयपुर,3925,आँपटार,7,6663,"पशुपति उ.मा.वि., ज्यामिरे"
14,Udayapur,उदयपुर,3925,आँपटार,6,6663,"पशुपति उ.मा.वि., ज्यामिरे"
14,Udayapur,उदयपुर,3925,आँपटार,9,6663,"पशुपति उ.मा.वि., ज्यामिरे"
14,Udayapur,उदयपुर,3925,आँपटार,8,6663,"पशुपति उ.मा.वि., ज्यामिरे"
14,Udayapur,उदयपुर,3940,लेखगाउँ,1,7078,"प्रा.वि. भवन, लेखगाउँ"
